,개방서비스명,상세영업상태코드,상세영업상태명,소재지전체주소,사업장명,업태구분명,시도,시군구,시도 시군구
9169,단란주점영업,1,영업,부산광역시 동래구 온천동 98-7번지,아모르,단란주점,부산광역시,동래구,부산광역시 동래구
9170,단란주점영업,1,영업,부산광역시 동래구 안락동 426-36,짱노래방,단란주점,부산광역시,동래구,부산광역시 동래구
9171,단란주점영업,1,영업,부산광역시 동래구 온천동 1424-18번지,폴카단란주점,단란주점,부산광역시,동래구,부산광역시 동래구
9172,단란주점영업,1,영업,부산광역시 동래구 안락동 425-105번지,앵콜,단란주점,부산광역시,동래구,부산광역시 동래구
9173,단란주점영업,1,영업,부산광역시 동래구 명장동 29-121,제플린,단란주점,부산광역시,동래구,부산광역시 동래구
9174,단란주점영업,1,영업,부산광역시 금정구 서동 201-27번지,모닥불,단란주점,부산광역시,금정구,부산광역시 금정구
9175,단란주점영업,1,영업,부산광역시 동래구 온천동 97-7번지,월계,단란주점,부산광역시,동래구,부산광역시 동래구
9176,단란주점영업,1,영업,부산광역시 동래구 온천동 137-12,M(엠),단란주점,부산광역시,동래구,부산광역시 동래구
9177,단란주점영업,1,영업,부산광역시 동래구 수안동 421-29번지,탱크,단란주점,부산광역시,동래구,부산광역시 동래구
9178,단란주점영업,1,영업,부산광역시 동래구 온천동 140-52번지,녹천,단란주점,부산광역시,동래구,부산광역시 동래구
9179,단란주점영업,1,영업,부산광역시 동래구 명륜동 472-2번지,목마,단란주점,부산광역시,동래구,부산광역시 동래구
9180,단란주점영업,1,영업,부산광역시 동래구 사직동 78-21,이화,단란주점,부산광역시,동래구,부산광역시 동래구
9181,단란주점영업,1,영업,부산광역시 동래구 안락동 423-1,황금성단란주점,단란주점,부산광역시,동래구,부산광역시 동래구
9182,단란주점영업,1,영업,부산광역시 동래구 사직동 77-27,단아,단란주점,부산광역시,동래구,부산광역시 동래구
9183,단란주점영업,1,영업,부산광역시 동래구 사직동 91-19번지,술있는대풍노래방,단란주점,부산광역시,동래구,부산광역시 동래구
9184,단란주점영업,1,영업,부산광역시 동래구 온천동 1413-14번지,모나리자,단란주점,부산광역시,동래구,부산광역시 동래구
